bouce_number,time_of_balance,quadrant_of_bouce,frame_number
1,716.6666666666666,4,44
2,2858.3333333333335,1,172
3,6386.666666666667,2,383
4,8863.333333333334,2,531
5,12006.666666666668,3,719
6,17058.333333333332,4,1021
7,20320.0,2,1216
